timestep	potential_energy
0	99129.5663
1	99110.80797
2	99047.09895
3	98925.9404
4	98733.01482
5	98452.83674
6	98069.45941
7	97566.96255
8	96932.85374
9	96156.58163
10	95233.23831
11	94163.4498
12	92951.95384
13	91608.22945
14	90140.04898
15	88550.6922
16	86828.03607
17	84949.11486
18	82874.26594
19	80557.40329
20	77960.86871
21	75074.73648
22	71906.54972
23	68461.50609
24	64753.35702
25	60862.35017
26	57292.58467
27	54220.06576
28	51347.48079
29	48366.27455
30	45721.64226
31	43605.01063
32	41499.89143
33	39370.0359
34	37552.08204
35	35954.7068
36	34358.26413
37	32823.15673
38	31488.10998
39	30340.00374
40	29250.06011
41	28184.53468
42	27214.48586
43	26356.51927
44	25541.40852
45	24725.06387
46	23930.53028
47	23183.88326
48	22476.57871
49	21791.55404
50	21122.29167
51	20476.66282
52	19863.57586
53	19287.98277
54	18748.08643
55	18238.84393
56	17754.27507
57	17289.5714
58	16843.37624
59	16417.08483
60	16010.32401
61	15624.56604
62	15259.35312
63	14914.0569
64	14585.77311
65	14272.85387
66	13975.5901
67	13692.76856
68	13424.89091
69	13171.87799
70	12931.44766
71	12704.16603
72	12487.40728
73	12279.24288
74	12079.30969
75	11888.60102
76	11706.69135
77	11534.78878
78	11372.26032
79	11218.98392
80	11074.58589
81	10938.73206
82	10810.44352
83	10689.27325
84	10574.71484
85	10466.93076
86	10364.66234
87	10268.5651
88	10177.30823
89	10090.52979
90	10008.20502
91	9931.560087
92	9858.365491
93	9789.802418
94	9724.534696
95	9662.884525
96	9605.149615
97	9550.566072
98	9500.010506
99	9451.490646
100	9407.220109
101	9366.16439
102	9327.600981
103	9291.900039
104	9257.657038
105	9225.859653
106	9195.755326
107	9167.168233
108	9140.272679
109	9116.373497
110	9093.070886
111	9070.999509
112	9050.51766
113	9030.547699
114	9012.123504
115	8994.040607
116	8977.374223
117	8962.074626
118	8947.497986
119	8933.610261
120	8920.840471
121	8907.340653
122	8895.377009
123	8883.914602
124	8873.280815
125	8863.634845
126	8854.149762
127	8844.806315
128	8836.487365
129	8827.176007
130	8818.893138
131	8811.368815
132	8803.896014
133	8795.985148
134	8789.301673
135	8782.606253
136	8775.89404
137	8770.231484
138	8764.593313
139	8759.377651
140	8754.467221
141	8749.342862
142	8744.902639
143	8740.422834
144	8736.112403
145	8731.755323
146	8727.831509
147	8724.037845
148	8720.4863
149	8716.55506
150	8713.341844
151	8710.227245
152	8707.005813
153	8704.07101
154	8701.131002
155	8698.663305
156	8696.068096
157	8693.453182
158	8691.006177
159	8688.820488
160	8686.492128
161	8684.327647
162	8682.028139
163	8679.977628
164	8677.788143
165	8675.453228
166	8673.76623
167	8671.816818
168	8670.409318
169	8668.342967
170	8666.316966
171	8664.829929
172	8663.178889
173	8661.06883
174	8659.594939
175	8658.154948
176	8656.743057
177	8654.959793
178	8653.90856
179	8652.487176
180	8651.09614
